base,quote1,quote2,symbol1,symbol2,symbol3,bid1,ask1,bid2,ask2,bid3,ask3
BNB,USDT,ETH,BNB/USDT,BNB/ETH,ETH/USDT,628.5,628.6,0.1668,0.1669,3766.61,3766.62
BCC,USDT,ETH,BCC/USDT,BCC/ETH,ETH/USDT,,,,,3766.76,3766.77
NEO,USDT,ETH,NEO/USDT,NEO/ETH,ETH/USDT,14.63,14.64,,,3766.76,3766.77
LTC,USDT,ETH,LTC/USDT,LTC/ETH,ETH/USDT,82.06,82.07,0.02178,0.02179,3766.76,3766.77
QTUM,USDT,ETH,QTUM/USDT,QTUM/ETH,ETH/USDT,3.444,3.445,0.000913,0.000915,3766.76,3766.77
ADA,USDT,ETH,ADA/USDT,ADA/ETH,ETH/USDT,0.456,0.4561,0.000121,0.0001211,3766.76,3766.77
XRP,USDT,ETH,XRP/USDT,XRP/ETH,ETH/USDT,0.5188,0.5189,0.0001377,0.0001378,3766.76,3766.77
EOS,USDT,ETH,EOS/USDT,EOS/ETH,ETH/USDT,0.7906,0.7907,0.0002097,0.00021,3766.76,3766.77
TUSD,USDT,ETH,TUSD/USDT,TUSD/ETH,ETH/USDT,0.999,0.9991,,,3766.76,3766.77
IOTA,USDT,ETH,IOTA/USDT,IOTA/ETH,ETH/USDT,0.2146,0.2147,5.68e-05,5.71e-05,3766.98,3766.99
XLM,USDT,ETH,XLM/USDT,XLM/ETH,ETH/USDT,0.1045,0.1046,2.774e-05,2.777e-05,3766.99,3767.0
ONT,USDT,ETH,ONT/USDT,ONT/ETH,ETH/USDT,0.2886,0.2887,,,3766.99,3767.0
TRX,USDT,ETH,TRX/USDT,TRX/ETH,ETH/USDT,0.11329,0.1133,3.008e-05,3.009e-05,3766.99,3767.0
ETC,USDT,ETH,ETC/USDT,ETC/ETH,ETH/USDT,28.35,28.36,0.00752,0.00753,3767.37,3767.38
ICX,USDT,ETH,ICX/USDT,ICX/ETH,ETH/USDT,0.21,0.2101,,,3767.37,3767.38
VEN,USDT,ETH,VEN/USDT,VEN/ETH,ETH/USDT,,,,,3767.37,3767.38
NULS,USDT,ETH,NULS/USDT,NULS/ETH,ETH/USDT,0.5915,0.5916,,,3767.37,3767.38
VET,USDT,ETH,VET/USDT,VET/ETH,ETH/USDT,0.03369,0.0337,8.94e-06,8.95e-06,3767.37,3767.38
PAX,USDT,ETH,PAX/USDT,PAX/ETH,ETH/USDT,,,,,3767.49,3767.5
LINK,USDT,ETH,LINK/USDT,LINK/ETH,ETH/USDT,17.635,17.636,0.00468,0.004682,3767.49,3767.5
WAVES,USDT,ETH,WAVES/USDT,WAVES/ETH,ETH/USDT,1.557,1.558,0.000413,0.000414,3767.49,3767.5
HOT,USDT,ETH,HOT/USDT,HOT/ETH,ETH/USDT,0.002483,0.002484,6.5e-07,6.6e-07,3767.49,3767.5
ZIL,USDT,ETH,ZIL/USDT,ZIL/ETH,ETH/USDT,0.02298,0.023,6.09e-06,6.11e-06,3767.49,3767.5
ZRX,USDT,ETH,ZRX/USDT,ZRX/ETH,ETH/USDT,0.4994,0.4995,,,3767.72,3767.73
BAT,USDT,ETH,BAT/USDT,BAT/ETH,ETH/USDT,0.2385,0.2386,,,3767.98,3767.99
XMR,USDT,ETH,XMR/USDT,XMR/ETH,ETH/USDT,,,,,3767.98,3767.99
ZEC,USDT,ETH,ZEC/USDT,ZEC/ETH,ETH/USDT,25.41,25.43,0.00674,0.00675,3768.32,3768.33
IOST,USDT,ETH,IOST/USDT,IOST/ETH,ETH/USDT,0.00847,0.00848,,,3768.32,3768.33
CELR,USDT,ETH,CELR/USDT,CELR/ETH,ETH/USDT,0.02446,0.02447,,,3768.49,3768.5
DASH,USDT,ETH,DASH/USDT,DASH/ETH,ETH/USDT,29.62,29.63,0.00784,0.00787,3768.49,3768.5
NANO,USDT,ETH,NANO/USDT,NANO/ETH,ETH/USDT,,,,,3768.49,3768.5
OMG,USDT,ETH,OMG/USDT,OMG/ETH,ETH/USDT,0.478,0.479,,,3768.49,3768.5
THETA,USDT,ETH,THETA/USDT,THETA/ETH,ETH/USDT,2.091,2.092,0.0005544,0.0005552,3768.49,3768.5
ENJ,USDT,ETH,ENJ/USDT,ENJ/ETH,ETH/USDT,0.2999,0.3,7.95e-05,7.96e-05,3768.49,3768.5
MATIC,USDT,ETH,MATIC/USDT,MATIC/ETH,ETH/USDT,0.702,0.7021,0.0001863,0.0001864,3768.84,3768.85
ATOM,USDT,ETH,ATOM/USDT,ATOM/ETH,ETH/USDT,8.334,8.335,0.002209,0.002212,3768.84,3768.85
ONE,USDT,ETH,ONE/USDT,ONE/ETH,ETH/USDT,0.02216,0.02217,,,3768.84,3768.85
FTM,USDT,ETH,FTM/USDT,FTM/ETH,ETH/USDT,0.8273,0.8274,0.0002194,0.0002196,3768.97,3768.98
ALGO,USDT,ETH,ALGO/USDT,ALGO/ETH,ETH/USDT,0.1797,0.1798,4.767e-05,4.773e-05,3768.97,3768.98
